# # # # # # # # # # # # # # # # # # # # # # # #
дополнительно
# # # # # # # # # # # # # # # # # # # # # # # #
Асфальт 60
# # # # # # # # # # # # # # # # # # # # # # # #

# # # # # # # # # # # # # # # # # # # # # # # #

# # # # # # # # # # # # # # # # # # # # # # # #
Source: Inbuilt accelerometer
Axis: XYZ
Size: 4096
Y-axis: g
Sampling rate: 99.418 Hz
FFT Size: 64
Window: Blackman
# # # # # # # # # # # # # # # # # # # # # # # #
X;Y;Z
-0.0312957764;-0.0830688477;-0.9946594238
0.0547027588;-0.1535186768;-1.1504364014
0.2521972656;-0.1434783936;-1.1922454834
0.2099151611;0.0254974365;-1.2702178955
0.1360168457;-0.0626678467;-1.1663970947
0.1823883057;-0.0663909912;-1.1666107178
0.0426025391;-0.0395507812;-1.0787048340
0.0282897949;-0.1542358398;-1.0703582764
0.1260528564;-0.0502166748;-1.0445098877
0.2075805664;0.0656280518;-0.9958648682
0.1428222656;-0.0005035400;-1.0874176025
0.2610778809;0.2037353516;-0.8991241455
-0.1130828857;-0.0747222900;-0.9220275879
-0.3665161133;-0.2023925781;-1.0690612793
-0.1857604980;0.0749511719;-1.1338653564
-0.0771484375;-0.1456604004;-0.9733428955
0.1732788086;0.0287628174;-0.8778839111
0.1395111084;0.0839843750;-1.1556396484
0.0554046631;0.1091461182;-0.9073944092
-0.1815948486;-0.0526123047;-0.9355468750
-0.2082672119;-0.1756439209;-1.0009918213
-0.0498199463;-0.2569274902;-0.9095306396
0.1096954346;-0.0636749268;-0.7688598633
0.1575469971;0.0266876221;-0.7792358398
0.2243194580;0.1537933350;-0.7932281494
0.0778198242;-0.0508880615;-0.8118591309
-0.2400512695;0.0376434326;-1.0927734375
-0.0889282227;-0.0700073242;-0.9304199219
0.0984802246;0.0930938721;-0.6309814453
0.1339874268;0.1957092285;-0.7490844727
0.2933807373;0.2395477295;-0.8271789551
0.2162322998;0.0431518555;-0.6950225830
0.0159301758;0.0951232910;-0.8334808350
-0.0607452393;-0.0427398682;-1.0455932617
0.0670623779;0.0756225586;-1.0380859375
0.0628204346;-0.0015563965;-0.8286590576
0.0431823730;0.0161132812;-0.8322448730
