# # # # # # # # # # # # # # # # # # # # # # # #
11 окт. 2021 г., 15:4
# # # # # # # # # # # # # # # # # # # # # # # #
Source: Inbuilt accelerometer, Axis: XYZ, Size: 2960, Y-axis: g, Sampling rate: 99.418 Hz, FFT Size: 64, Window: Blackman
# # # # # # # # # # # # # # # # # # # # # # # #

# # # # # # # # # # # # # # # # # # # # # # # #

# # # # # # # # # # # # # # # # # # # # # # # #
Source: Inbuilt accelerometer
Axis: XYZ
Size: 2960
Y-axis: g
Sampling rate: 99.418 Hz
FFT Size: 64
Window: Blackman
# # # # # # # # # # # # # # # # # # # # # # # #
X;Y;Z
0.0660095215;0.0045928955;-0.9959411621
0.0683288574;-0.0288696289;-0.9441528320
0.0684661865;-0.0145721436;-1.0323486328
0.0542602539;0.0038604736;-1.0411987305
0.0692901611;-0.0173339844;-0.9535369873
0.0686645508;-0.0191040039;-0.9860839844
0.0530242920;-0.0097503662;-1.0403289795
0.0711212158;0.0022583008;-0.9904785156
0.0653533936;-0.0258178711;-0.9529418945
0.0634460449;-0.0139465332;-1.0289916992
0.0537261963;0.0033264160;-1.0256805420
0.0706634521;-0.0242919922;-0.9446258545
0.0705718994;-0.0172576904;-1.0027313232
0.0491485596;-0.0070495605;-1.0461425781
0.0671539307;-0.0008239746;-0.9783172607
0.0663146973;-0.0289459229;-0.9531402588
0.0650634766;-0.0136413574;-1.0355834961
0.0533294678;0.0066528320;-1.0312500000
0.0664672852;-0.0254821777;-0.9460449219
0.0687866211;-0.0165252686;-0.9969635010
0.0493621826;-0.0070648193;-1.0388031006
0.0701599121;-0.0053558350;-0.9805908203
0.0642089844;-0.0250549316;-0.9664306641
0.0560607910;-0.0135650635;-1.0356597900
0.0576629639;0.0041503906;-1.0172882080
0.0663757324;-0.0266876221;-0.9424591064
0.0694732666;-0.0154724121;-1.0115509033
0.0479888916;-0.0032806396;-1.0415802002
0.0694732666;-0.0109100342;-0.9659271240
0.0683593750;-0.0259552002;-0.9671173096
0.0614471436;-0.0163116455;-1.0417785645
0.0606231689;0.0067901611;-1.0209197998
0.0645141602;-0.0314025879;-0.9472503662
0.0686798096;-0.0162811279;-1.0096435547
0.0482177734;-0.0040283203;-1.0340270996
0.0732727051;-0.0140075684;-0.9660797119
0.0709991455;-0.0194549561;-0.9786224365
0.0526733398;-0.0141754150;-1.0407867432
0.0667572021;0.0032348633;-1.0060119629
0.0640258789;-0.0283660889;-0.9435882568
0.0754852295;-0.0139312744;-1.0251312256
0.0503845215;0.0014343262;-1.0370025635
0.0743865967;-0.0171356201;-0.9631500244
0.0758209229;-0.0216064453;-0.9743499756
0.0645751953;-0.0116271973;-1.0467987061
0.0720214844;0.0032653809;-1.0073242188
0.0692443848;-0.0309906006;-0.9483947754
0.0702514648;-0.0135040283;-1.0190582275
0.0569763184;0.0037994385;-1.0322418213
0.0764770508;-0.0143432617;-0.9538421631
0.0751037598;-0.0174407959;-0.9896697998
0.0579223633;-0.0072479248;-1.0401611328
0.0730743408;0.0032196045;-0.9907226562
0.0701599121;-0.0232238770;-0.9467926025
0.0733032227;-0.0158996582;-1.0267639160
0.0565032959;0.0122375488;-1.0294952393
0.0791931152;-0.0194396973;-0.9406890869
0.0682983398;-0.0135803223;-0.9919281006
0.0620269775;-0.0105743408;-1.0397491455
0.0735015869;-0.0060729980;-0.9736022949
0.0608673096;-0.0086059570;-0.9786071777
0.0710601807;-0.0337982178;-1.0089721680
0.0578765869;0.0085754395;-1.0227966309
0.0695037842;-0.0233917236;-0.9602203369
0.0748748779;-0.0271301270;-0.9936676025
0.0527801514;-0.0065460205;-1.0451965332
0.0682830811;-0.0124816895;-0.9847564697
0.0776824951;-0.0336608887;-0.9587860107
0.0644073486;-0.0183715820;-1.0395965576
0.0633087158;0.0024566650;-1.0271759033
0.0678863525;-0.0317230225;-0.9514160156
0.0761108398;-0.0298461914;-1.0042266846
0.0571899414;-0.0060577393;-1.0443878174
0.0681610107;-0.0143585205;-0.9813385010
0.0668029785;-0.0312500000;-0.9735870361
0.0650634766;-0.0205383301;-1.0225830078
0.0633239746;-0.0025787354;-1.0134429932
0.0673370361;-0.0287780762;-0.9666748047
0.0784606934;-0.0234985352;-1.0025329590
0.0553131104;-0.0068817139;-1.0279998779
0.0683135986;-0.0092163086;-0.9811096191
0.0705413818;-0.0251770020;-0.9688873291
0.0601348877;-0.0147705078;-1.0210113525
0.0619201660;0.0101013184;-1.0165100098
0.0667724609;-0.0229949951;-0.9602050781
0.0776214600;-0.0140838623;-0.9971008301
0.0516052246;0.0042419434;-1.0316162109
0.0680999756;-0.0081634521;-0.9881286621
0.0784912109;-0.0169067383;-0.9754791260
0.0605621338;-0.0115051270;-1.0173645020
0.0644683838;0.0107574463;-1.0094757080
0.0760955811;-0.0254058838;-0.9770355225
0.0762023926;-0.0140686035;-1.0110626221
0.0492401123;0.0086059570;-1.0269622803
