# # # # # # # # # # # # # # # # # # # # # # # #
грунт
# # # # # # # # # # # # # # # # # # # # # # # #
Source: Inbuilt accelerometer, Axis: XYZ, Size: 4096, Y-axis: g, Sampling rate: 99.418 Hz, FFT Size: 64, Window: Blackman
# # # # # # # # # # # # # # # # # # # # # # # #

# # # # # # # # # # # # # # # # # # # # # # # #

# # # # # # # # # # # # # # # # # # # # # # # #
Source: Inbuilt accelerometer
Axis: XYZ
Size: 4096
Y-axis: g
Sampling rate: 99.418 Hz
FFT Size: 64
Window: Blackman
# # # # # # # # # # # # # # # # # # # # # # # #
X;Y;Z
0.1707153320;0.1006927490;-1.1886444092
0.3101806641;-0.0015411377;-1.0209045410
0.1512908936;-0.0759582520;-0.9930877686
0.0504455566;0.0466308594;-1.2024841309
0.2090301514;-0.0361785889;-1.1849060059
0.3408660889;-0.0038604736;-1.0680389404
0.0218048096;-0.0191040039;-1.0519866943
0.1584167480;0.1514892578;-1.1829223633
0.1749420166;-0.1407928467;-0.9688873291
-0.1126098633;-0.1017456055;-1.1927032471
0.1126251221;0.0930938721;-1.2989654541
0.3037719727;-0.1244659424;-0.9117431641
0.0875091553;-0.1289367676;-0.8061370850
-0.1183929443;-0.0047149658;-1.2688903809
0.0970458984;-0.0436401367;-1.1542816162
0.1687164307;-0.3611907959;-1.0365295410
0.0940246582;-0.0300292969;-1.1183929443
0.2189788818;-0.0844116211;-1.0932617188
0.1529235840;-0.2885589600;-1.1142578125
0.0381011963;-0.1859130859;-1.1064147949
0.0700073242;0.0402069092;-1.0892791748
0.1733856201;-0.0664062500;-0.8906250000
0.1044158936;-0.2474212646;-1.0184783936
0.0606079102;-0.0778961182;-1.2533569336
0.1996307373;-0.0334930420;-1.0080871582
0.0890960693;-0.1108703613;-0.9615631104
0.0786285400;-0.1281127930;-1.1834411621
0.1680908203;0.1214141846;-1.1524353027
0.1177825928;-0.1337585449;-0.8321685791
0.1293334961;-0.0049438477;-1.0016174316
-0.0275726318;-0.0155334473;-1.0141448975
0.0629425049;0.1702575684;-0.9872589111
0.0728149414;-0.0412750244;-0.8989868164
0.1095275879;0.2546691895;-0.8505249023
0.2087097168;0.1001434326;-0.9309997559
0.1029968262;0.0013732910;-0.8669128418
0.0015563965;0.1923980713;-0.9928894043
0.0210113525;-0.0215148926;-1.0010681152
0.2962493896;0.2030792236;-0.8680725098
0.0765380859;0.1030883789;-0.7049865723
-0.1538391113;0.1810607910;-0.9051361084
-0.0095367432;0.0698547363;-1.0305786133
-0.0023040771;0.2549285889;-0.8539428711
-0.0021667480;0.0751495361;-0.8507995605
-0.0032653809;0.1921691895;-0.9879913330
-0.0587921143;0.2699737549;-1.0709533691
-0.1317901611;0.1547241211;-0.9629058838
-0.0938415527;0.0503845215;-0.8867034912
0.0719757080;0.0411376953;-0.9270324707
-0.1327362061;0.1967620850;-0.9330444336
-0.0894317627;-0.0032043457;-1.0532836914
-0.1428833008;0.0813598633;-1.1328735352
0.0057830811;0.0974121094;-1.0586853027
0.0984649658;0.1651916504;-0.8966217041
-0.0408935547;0.1625823975;-1.0144805908
-0.0696868896;0.0798950195;-1.1402282715
-0.0521240234;0.1569213867;-1.2042083740
0.1421356201;0.1470184326;-1.0150756836
0.0379333496;0.1981964111;-0.9537048340
0.0338287354;0.0779266357;-1.0605010986
0.0370788574;-0.0538177490;-1.0767517090
0.0833587646;0.0707702637;-1.0497131348
0.2052459717;-0.0886840820;-0.9528503418
0.1969909668;0.0836639404;-1.1199035645
0.2695312500;-0.1269073486;-1.0971984863
0.1959228516;-0.2690582275;-1.0605163574
0.0031433105;-0.0375671387;-1.1278076172
