# # # # # # # # # # # # # # # # # # # # # # # #
щебень переход на асфальт
# # # # # # # # # # # # # # # # # # # # # # # #
25 км/ч
# # # # # # # # # # # # # # # # # # # # # # # #

# # # # # # # # # # # # # # # # # # # # # # # #

# # # # # # # # # # # # # # # # # # # # # # # #
Source: Inbuilt accelerometer
Axis: XYZ
Size: 4096
Y-axis: g
Sampling rate: 99.418 Hz
FFT Size: 64
Window: Blackman
# # # # # # # # # # # # # # # # # # # # # # # #
X;Y;Z
0.0269927979;-0.0117645264;-1.0007171631
0.1108703613;-0.0039062500;-0.9874877930
0.0477752686;-0.0562133789;-0.9348297119
0.0984191895;0.0507049561;-1.0125579834
0.1037597656;-0.0568237305;-0.9400939941
0.1109008789;0.0425720215;-0.9469451904
0.1320037842;-0.0340576172;-0.9962768555
0.0673675537;-0.0291900635;-0.9778747559
0.1042785645;0.0303192139;-1.0123443604
0.0839080811;-0.0981140137;-0.9651641846
0.0808715820;0.0334472656;-1.0337677002
0.1086730957;-0.1113281250;-1.0151824951
0.0444641113;-0.0299987793;-0.9852142334
0.1070709229;-0.0091552734;-1.0462188721
0.0829162598;-0.1024780273;-0.9635925293
0.0807037354;0.0186157227;-1.0194091797
0.1246032715;-0.0943908691;-1.0300292969
0.0672149658;-0.0172729492;-0.9958343506
0.1279296875;-0.0208740234;-1.0358428955
0.0671081543;-0.0726470947;-0.9969787598
0.1003112793;0.0202178955;-1.0551605225
0.0722961426;-0.1092376709;-0.9922027588
0.0793151855;0.0185089111;-0.9941711426
0.1038970947;-0.0767669678;-1.0258941650
0.0615234375;-0.0512542725;-0.9953918457
0.0909118652;0.0018920898;-1.0448303223
0.1056365967;-0.1425628662;-0.9687957764
0.0525360107;0.0055999756;-1.0387725830
0.1246490479;-0.1012573242;-1.0565338135
0.0509796143;-0.0881652832;-0.9807281494
0.0910034180;-0.0300598145;-1.0375061035
0.0719299316;-0.1266479492;-0.9798431396
0.0515747070;-0.0147247314;-1.0097656250
0.0801696777;-0.1091156006;-0.9937133789
0.0633392334;-0.0181732178;-0.9864044189
0.1149902344;-0.0791625977;-1.0143432617
0.0756683350;-0.1125640869;-0.9630889893
0.0736236572;0.0138854980;-1.0436096191
0.0764923096;-0.1406402588;-0.9839477539
0.0481109619;0.0029296875;-0.9770202637
0.1076660156;-0.0647583008;-1.0003814697
0.0634460449;-0.1115722656;-0.9586944580
0.0860595703;0.0410614014;-1.0279846191
0.1074829102;-0.1382904053;-0.9613800049
0.0693206787;0.0021972656;-1.0055236816
0.1148529053;-0.0755310059;-1.0383300781
0.0764160156;-0.0630340576;-0.9882049561
0.0698852539;-0.0087432861;-0.9779510498
0.0522613525;-0.1006622314;-0.9410400391
0.0483703613;0.0106811523;-1.0176696777
0.1150360107;-0.1087951660;-0.9763488770
0.0487060547;-0.0733489990;-0.9514312744
0.0908203125;-0.0334777832;-1.0606689453
0.0440521240;-0.1180267334;-0.9933929443
0.0587310791;-0.0096893311;-0.9851074219
0.1028747559;-0.1246795654;-0.9626770020
0.0886230469;-0.0280914307;-0.9897308350
0.0878448486;-0.0684509277;-1.0163879395
0.0536346436;-0.1050567627;-0.9653930664
0.0313262939;0.0155944824;-1.0031280518
0.0922546387;-0.1075897217;-0.9611206055
0.0454254150;-0.0136108398;-0.9621276855
0.1128692627;-0.0670623779;-1.0135803223
0.0620727539;-0.0771484375;-0.9923400879
0.0907440186;0.0044555664;-1.0339202881
0.0845031738;-0.1266174316;-0.9954681396
0.0619506836;-0.0172271729;-1.0265045166
0.0902862549;-0.0984191895;-1.0351409912
0.0582275391;-0.0473937988;-0.9851226807
0.1047210693;-0.0321960449;-0.9959411621
0.0604705811;-0.1268005371;-0.9689025879
0.0449218750;0.0041198730;-1.0265960693
0.0722656250;-0.1236419678;-0.9979553223
0.0415649414;-0.0652618408;-0.9826812744
0.0895843506;-0.0694274902;-1.0548553467
0.0725860596;-0.0801849365;-0.9819793701
0.0918884277;-0.0112457275;-1.0345916748
0.0859222412;-0.1134033203;-1.0112609863
0.0746154785;0.0163574219;-1.0322570801
0.1089172363;-0.1294403076;-0.9802093506
0.0335235596;-0.0969848633;-0.9458923340
0.0172576904;0.0079803467;-1.1015472412
-0.0055084229;-0.1420288086;-0.9370422363
0.0365753174;-0.0024871826;-0.9816741943
0.0517272949;-0.0922698975;-1.0137634277
0.0498504639;0.0161895752;-1.0021362305
0.0460510254;0.0093078613;-0.9780731201
-0.0224456787;-0.0684509277;-0.9235076904
0.0262451172;0.0645294189;-1.0219879150
0.0544891357;-0.1230163574;-0.9114837646
0.0519561768;0.0395812988;-0.9474792480
0.0405883789;-0.0296325684;-0.9978942871
-0.0443725586;-0.0219726562;-0.9680328369
0.0216979980;0.0290832520;-1.0365600586
-0.0082397461;-0.0661163330;-0.9246978760
0.0553283691;0.0719451904;-1.0110626221
0.0924682617;-0.0580444336;-0.9787292480
0.0102844238;0.0124511719;-0.9902496338
0.0797729492;-0.0030670166;-1.0327301025
0.0001831055;-0.0760498047;-0.9544219971
0.0820770264;0.0260772705;-1.0043945312
0.0486602783;-0.1468505859;-0.9500427246
0.0082855225;-0.0429229736;-1.0063781738
0.0704956055;-0.1081085205;-1.0206146240
-0.0257263184;-0.1088562012;-0.9652252197
0.0920715332;0.0026397705;-1.0556182861
0.0436553955;-0.1189575195;-0.9501037598
0.0214691162;-0.0270843506;-0.9451751709
0.0455780029;-0.0846405029;-0.9710388184
0.0112152100;-0.1007080078;-0.9418182373
0.0907745361;-0.0343322754;-1.0241699219
0.0759887695;-0.1145477295;-0.9921264648
0.0914154053;-0.0288238525;-1.0068664551
0.0342559814;-0.1436462402;-1.0304565430
-0.0402984619;-0.0656280518;-1.0211486816
0.0734405518;0.0313415527;-0.9662628174
0.0053558350;-0.1493225098;-0.8551025391
0.0740356445;0.0053405762;-1.0865631104
0.0962371826;-0.0962829590;-1.0617675781
0.0684356689;-0.0507812500;-0.9630737305
0.0820312500;-0.1172790527;-1.0541381836
-0.0030670166;-0.1108245850;-1.0901184082
0.0667114258;-0.0533142090;-1.0339508057
0.0561828613;-0.1831817627;-0.8882751465
0.0310058594;-0.0332794189;-1.0395050049
0.0680541992;-0.0387115479;-1.0726318359
0.0142059326;-0.0399017334;-0.9504547119
0.0786285400;-0.0045623779;-1.0296173096
0.0191040039;-0.1057586670;-1.0096588135
0.0813293457;0.0207977295;-1.0478210449
0.0474395752;-0.1293182373;-0.9654846191
0.0144500732;-0.0046539307;-1.0315399170
0.0666809082;-0.0259094238;-1.0812683105
0.0328826904;-0.0813598633;-0.9618682861
0.0691986084;-0.0298004150;-1.0677642822
0.0252380371;-0.1053771973;-1.0494689941
0.0219268799;-0.0022277832;-1.0586853027
0.0416870117;-0.0945129395;-0.9877166748
-0.0105438232;-0.0245971680;-0.9974822998
0.0837554932;-0.0126953125;-1.0781250000
0.0122680664;-0.0913696289;-0.9472808838
0.0661773682;-0.0100402832;-1.0550231934
0.0261077881;-0.0572814941;-1.0329589844
0.0489959717;-0.0400695801;-1.0068054199
0.0305633545;-0.0905609131;-1.0177917480
-0.0218048096;-0.0768585205;-1.0402526855
0.0773468018;-0.0173797607;-1.0711669922
-0.0309295654;-0.1307678223;-0.9244689941
0.0687103271;0.0225677490;-1.0572662354
0.0435638428;-0.0787811279;-0.9835357666
0.0219573975;-0.0124206543;-0.9406585693
0.0228729248;-0.0695953369;-1.0356445312
-0.0357666016;-0.0434265137;-1.0202331543
0.0943450928;-0.0041198730;-0.9679870605
-0.0338592529;-0.0562133789;-0.8902130127
0.0820770264;0.0652923584;-1.0467681885
-0.0007781982;-0.0943603516;-0.9258270264
-0.0306549072;-0.0180816650;-0.9352874756
0.0655670166;0.0367126465;-1.0352783203
-0.0334777832;-0.1030426025;-0.9013824463
0.0217742920;0.0427856445;-1.0066680908
-0.0654754639;-0.0057678223;-0.9579467773
0.0370635986;-0.0390167236;-0.9963226318
0.0657806396;-0.0998382568;-1.0957489014
0.1944274902;-0.0397644043;-1.2071990967
0.2177734375;-0.0847473145;-1.0301361084
-0.0637512207;-0.1461791992;-1.0940856934
-0.0873413086;-0.0084533691;-1.3276367188
-0.1565856934;-0.2653045654;-0.9206237793
0.0459136963;-0.0576171875;-0.8002929688
0.0449218750;-0.2054290771;-0.9042510986
0.0070343018;-0.0880584717;-1.1056518555
-0.0282440186;0.0777893066;-1.0538024902
-0.1106109619;-0.1170196533;-0.8412933350
-0.0086975098;0.1052856445;-0.9715728760
0.0041351318;-0.0102996826;-0.9120330811
0.1036376953;-0.0295257568;-0.8138885498
-0.1307678223;-0.1801452637;-0.7896270752
-0.0765228271;0.0845184326;-1.0509643555
-0.1170196533;-0.0410614014;-0.9179687500
-0.0129394531;-0.0575256348;-0.9293212891
0.0792236328;0.0572204590;-1.0352325439
0.0060882568;-0.0486907959;-1.0252380371
-0.0337066650;0.0344085693;-0.9980773926
-0.1454620361;-0.0784606934;-0.9122467041
-0.0250396729;-0.0261993408;-0.9958953857
-0.0313262939;-0.1259155273;-0.9422912598
0.1260070801;-0.0190734863;-1.0302124023
0.0002593994;-0.1001739502;-1.0217742920
-0.0459289551;-0.0672454834;-1.1263885498
-0.1052856445;-0.0733032227;-1.0490875244
-0.0706939697;-0.1050415039;-0.9556427002
0.0481262207;0.0116271973;-0.9307098389
0.0173034668;-0.1175842285;-0.9338226318
0.0344085693;-0.0105133057;-1.0241241455
-0.0915527344;-0.1008605957;-1.0403594971
-0.0245361328;-0.0984802246;-1.0855560303
-0.0755615234;-0.0646514893;-1.0366973877
0.0504913330;-0.0491943359;-1.0343017578
-0.0463104248;-0.0495910645;-0.9389038086
-0.0599822998;-0.0431976318;-0.9616394043
-0.0933685303;-0.0291290283;-0.9340667725
-0.0541076660;-0.0851898193;-0.9207611084
-0.0005798340;-0.0701293945;-0.9819183350
-0.0074005127;-0.1005401611;-1.0650024414
0.0156555176;-0.0610504150;-1.0814514160
-0.0531768799;-0.0666198730;-1.0084075928
0.0775756836;-0.0308380127;-1.0814056396
-0.0183563232;-0.1192321777;-0.9977569580
0.1403198242;0.0059967041;-1.0625610352
-0.0512847900;-0.0523681641;-0.9737701416
