# # # # # # # # # # # # # # # # # # # # # # # #
Дополнительно
# # # # # # # # # # # # # # # # # # # # # # # #
Source: Inbuilt accelerometer, Axis: XYZ, Size: 4096, Y-axis: g, Sampling rate: 99.418 Hz, FFT Size: 64, Window: Blackman
# # # # # # # # # # # # # # # # # # # # # # # #

# # # # # # # # # # # # # # # # # # # # # # # #

# # # # # # # # # # # # # # # # # # # # # # # #
Source: Inbuilt accelerometer
Axis: XYZ
Size: 4096
Y-axis: g
Sampling rate: 99.418 Hz
FFT Size: 64
Window: Blackman
# # # # # # # # # # # # # # # # # # # # # # # #
X;Y;Z
0.1951293945;0.0295257568;-1.0778198242
0.1371307373;0.0730133057;-0.8205413818
0.0919952393;0.1538543701;-0.7771606445
-0.0195159912;-0.1798553467;-0.8041381836
0.1417846680;0.0438232422;-0.9431457520
0.0334777832;-0.0995788574;-0.8725280762
0.1776733398;0.0682220459;-0.9493713379
0.1346435547;0.1169891357;-0.7736053467
0.2056121826;0.1867065430;-0.8372344971
0.0254058838;-0.2299346924;-0.8554382324
-0.0239257812;-0.0797882080;-1.1092681885
-0.0323791504;-0.3269958496;-0.8692474365
0.3053131104;0.0896301270;-0.9328155518
0.1059722900;0.0800628662;-0.8360748291
0.2111206055;-0.1626434326;-0.9434814453
0.1586456299;-0.0086669922;-1.1265716553
0.0508117676;-0.3804016113;-1.0401306152
0.0298309326;0.0392608643;-0.9892578125
0.0742492676;-0.1746673584;-0.8924407959
0.1801300049;-0.0922241211;-0.8993835449
0.1134643555;-0.0592651367;-1.0386505127
0.2126464844;-0.0201416016;-0.9251403809
0.1588745117;-0.2601470947;-0.7158355713
0.0305633545;-0.0221862793;-0.8520812988
0.0536956787;-0.0439758301;-0.9811706543
0.1685180664;-0.1526794434;-0.9828796387
0.2205810547;-0.2191619873;-0.9185180664
0.3167877197;0.1191864014;-1.1833343506
0.2248077393;0.0140380859;-0.9056243896
0.4199371338;-0.0700378418;-1.1589813232
0.0851287842;-0.3165588379;-1.1195220947
0.2465209961;-0.2506256104;-1.3852386475
0.2935943604;-0.1354370117;-1.0272369385
0.3569641113;-0.2881011963;-1.0129547119
0.2339630127;-0.1711120605;-1.2534484863
0.2562408447;-0.0285491943;-1.3245391846
0.3928680420;0.0783386230;-0.9253540039
0.1297454834;-0.2733612061;-0.9708099365
0.1281433105;-0.3299865723;-1.2309265137
0.0966491699;-0.1450958252;-1.2256011963
0.1838836670;-0.0111236572;-1.0299987793
0.3008422852;-0.2365570068;-1.0775756836
0.1750793457;0.0771942139;-1.0160980225
0.1641235352;-0.0426025391;-0.8621673584
0.0590667725;-0.0289459229;-1.0443115234
0.0101928711;-0.5537872314;-1.0124053955
0.0949707031;-0.1061859131;-1.0580902100
0.1934356689;-0.3676757812;-0.9812316895
0.2701416016;-0.0491485596;-0.8890380859
0.0554199219;0.1354217529;-0.8122711182
0.1823425293;0.1616821289;-0.6979522705
0.1267547607;0.0555572510;-0.7938385010
-0.0851745605;-0.6860504150;-1.2028961182
-0.0148010254;-0.2100067139;-1.2789306641
0.1683044434;-0.0608978271;-1.0980529785
0.2121124268;-0.1061401367;-0.6938934326
-0.0388183594;-0.1162109375;-1.0608367920
-0.0155792236;-0.1551513672;-1.1155548096
-0.0855560303;-0.1820068359;-1.0169677734
0.1321105957;-0.4946136475;-0.9099121094
-0.0696105957;-0.0509948730;-0.9619598389
0.0901947021;-0.2196502686;-1.0642242432
0.1160736084;0.0709838867;-0.8635253906
0.0514678955;0.3978576660;-0.6822967529
0.0759582520;-0.0977020264;-0.7497558594
0.0734100342;-0.0541839600;-1.0244140625
0.0805053711;-0.3000335693;-0.9591217041
0.1593322754;0.2124481201;-0.9527893066
0.1559753418;0.0967712402;-0.6827850342
0.1640319824;0.1862487793;-0.8405609131
0.1436462402;-0.0659942627;-0.9143218994
0.1927032471;-0.0595550537;-0.9635467529
0.1614379883;-0.0108184814;-0.9323272705
0.2247467041;-0.1506347656;-0.9289093018
0.1225738525;0.0942535400;-0.9923706055
0.1528625488;0.0419769287;-0.8713836670
0.1900024414;0.2797393799;-0.8604278564
0.2122802734;0.0890808105;-0.7761840820
0.1246490479;0.0404815674;-0.9647369385
-0.1035766602;-0.0690307617;-1.0054473877
0.0254516602;0.1393432617;-1.0413665771
0.0494232178;0.0489196777;-0.8387145996
0.0559692383;0.1187438965;-0.9665374756
-0.0172119141;0.0031738281;-0.9431457520
0.0442657471;0.1678771973;-0.9850158691
-0.0077209473;0.0461425781;-0.8618621826
0.0065307617;0.1248016357;-0.9647369385
0.0067291260;0.0464630127;-1.0260314941
0.0872650146;0.0733337402;-0.9471282959
0.0413513184;0.0546875000;-0.9598083496
0.0408020020;0.0440673828;-0.9908752441
0.0044403076;0.0999145508;-1.0015563965
-0.0373687744;0.0089874268;-0.8858947754
0.0317687988;0.0664062500;-1.0479125977
0.0619506836;-0.1218872070;-0.9908752441
0.0891113281;0.1594848633;-1.0350341797
0.0372619629;-0.0580749512;-0.9442443848
0.1327362061;0.0485534668;-1.0701904297
-0.0310058594;-0.1050262451;-0.9706115723
0.0679016113;0.0383758545;-1.0414886475
0.0417633057;-0.0711975098;-0.9172821045
0.1369171143;0.0106201172;-0.9301147461
0.1046752930;-0.0413513184;-1.0345916748
0.1326599121;-0.0198516846;-1.0973815918
0.0927124023;-0.0696105957;-0.9573059082
0.0997009277;-0.0601043701;-0.9893341064
0.0925750732;-0.1030883789;-1.0120086670
0.0797576904;-0.1400146484;-0.9802551270
0.0802612305;-0.0407257080;-0.9263916016
0.0511016846;-0.0349884033;-0.8492431641
0.1702575684;0.1219329834;-0.9868164062
0.1273193359;-0.0281372070;-0.9727783203
0.1037292480;0.0715942383;-1.0847625732
0.0417938232;-0.1038513184;-0.9973602295
0.1131286621;0.0918731689;-1.1027984619
0.0273437500;-0.1333312988;-0.9595184326
0.1831359863;0.1213073730;-1.1149139404
0.0447998047;-0.0102844238;-0.9484252930
0.1544189453;0.0572357178;-1.0747680664
0.0093841553;-0.2233276367;-1.0985107422
0.1354522705;0.0697479248;-1.1980285645
0.0822601318;-0.0872497559;-0.9981231689
0.1477050781;-0.0114898682;-1.0939331055
-0.0007934570;0.0688171387;-1.0086364746
0.0364227295;-0.1077117920;-0.9886627197
0.0625915527;-0.0088348389;-1.0916137695
0.1111907959;-0.0027923584;-1.0223236084
0.1468200684;0.0979156494;-0.9688720703
0.0174713135;-0.0003509521;-1.0713043213
0.2126617432;-0.1025390625;-1.2642059326
0.0174560547;-0.2058868408;-1.0862884521
0.1083221436;0.1076354980;-1.1555175781
0.1089782715;-0.0761260986;-0.9674835205
0.1811676025;0.0899810791;-1.1540527344
0.0399475098;-0.1327056885;-0.9563598633
0.0449981689;0.2014160156;-1.0845489502
-0.0234222412;-0.1267700195;-0.9956970215
0.0998229980;0.1964263916;-1.2774047852
0.0432434082;-0.0374450684;-1.0143890381
0.1218872070;0.0243835449;-1.0867156982
0.0190429688;0.0507507324;-1.0910339355
-0.0697174072;-0.0638885498;-1.2727508545
0.0518951416;-0.0076446533;-1.1125488281
0.0317535400;-0.0046997070;-0.9248046875
0.0457305908;-0.0428771973;-0.9207916260
0.0145721436;0.0216827393;-1.1490936279
-0.1152496338;0.0678405762;-1.0450134277
-0.0424652100;-0.0037994385;-1.0240020752
0.0385131836;-0.0126037598;-1.0791931152
0.0510253906;0.0453643799;-0.8958587646
0.1146545410;0.0560913086;-0.9722290039
-0.0146179199;-0.0173034668;-0.9761810303
-0.0066833496;-0.0231170654;-1.1857604980
-0.0719909668;-0.1319122314;-0.8574218750
-0.0358734131;0.1573181152;-1.0836181641
0.0737609863;-0.1862487793;-0.8883056641
0.0500488281;0.1124572754;-1.1260681152
-0.0556945801;-0.1517486572;-0.8448944092
-0.0787353516;0.1577453613;-1.1773223877
-0.0715026855;-0.1040039062;-0.9239349365
0.0694427490;0.1703796387;-0.9343414307
0.0117797852;-0.0785064697;-0.7397918701
0.0040740967;0.0236816406;-1.0404968262
-0.1250610352;-0.0494995117;-1.0394134521
0.0671691895;0.0606842041;-0.9919433594
-0.0027618408;-0.2879943848;-0.8728332520
-0.0316314697;0.0865936279;-1.0414276123
0.0338897705;-0.1256866455;-1.0323333740
0.1424255371;0.0158691406;-0.9375457764
-0.0610504150;0.0104370117;-0.8444976807
-0.0165710449;0.0364074707;-0.9367218018
0.1151733398;-0.0701599121;-0.9637908936
0.0446319580;0.0736694336;-0.9788055420
0.1379699707;-0.0470428467;-0.9752502441
0.0351715088;-0.0078887939;-0.8728942871
-0.0251007080;-0.0592498779;-0.8942565918
-0.1187133789;-0.1582183838;-0.9061279297
0.0706634521;0.1120910645;-1.0240325928
0.1532440186;-0.1189117432;-0.8636016846
0.0789794922;0.0197601318;-1.0910949707
0.0025939941;-0.0710754395;-0.9933013916
-0.0220184326;0.0500030518;-1.0337219238
-0.0655822754;-0.0785064697;-0.8486022949
0.0514984131;-0.0053710938;-1.0018920898
0.0382080078;-0.1000213623;-0.9199829102
0.0296020508;0.1193847656;-0.9923400879
0.0211334229;-0.1513977051;-0.9664764404
-0.0202026367;0.1354064941;-1.1273803711
-0.1016387939;-0.1039886475;-0.9569549561
0.0955200195;-0.0128021240;-1.0308837891
0.0385284424;-0.0837707520;-0.8972167969
0.1118011475;0.0224609375;-0.9286804199
-0.1069183350;-0.0275268555;-0.8441314697
-0.0156250000;-0.0041656494;-1.0043029785
0.0267639160;-0.1306152344;-0.9153594971
-0.0332946777;0.0048370361;-0.9954376221
0.0363616943;0.0413818359;-0.8449401855
-0.1071929932;0.0846405029;-0.8627471924
-0.0873870850;-0.0125732422;-0.8794403076
-0.0217742920;0.0777282715;-0.9400329590
0.1546325684;0.0765838623;-0.7001800537
0.0815429688;0.0287017822;-0.8405761719
-0.0677185059;0.0683288574;-0.9719085693
-0.1316833496;0.1647491455;-0.9938354492
-0.0302581787;-0.0124359131;-0.8741455078
0.0439605713;-0.0132904053;-1.0148010254
0.0867309570;-0.0613250732;-1.0337829590
0.1334838867;-0.0644836426;-0.9500885010
-0.1080017090;0.1913452148;-0.8613281250
-0.1168823242;-0.0932312012;-1.0346984863
0.0576782227;0.0506896973;-1.1115112305
0.0604095459;-0.0978240967;-0.9466400146
0.1019897461;-0.0283508301;-0.9181213379
0.0463867188;-0.0551757812;-1.0714111328
-0.0259857178;0.0596923828;-1.0302734375
-0.0350189209;-0.0442810059;-0.9813079834
0.0538177490;0.0513000488;-0.9799957275
0.1387939453;-0.0405120850;-0.9987335205
0.2107543945;0.0602264404;-0.9895935059
0.0647735596;0.0352325439;-0.9834442139
-0.0046691895;0.0953521729;-1.1260070801
0.0124969482;-0.0501556396;-1.0717468262
0.1255493164;0.0016326904;-1.1002044678
0.3773803711;-0.1879577637;-1.3619079590
0.7616729736;0.1752929688;-1.7736358643
0.6074981689;0.0173034668;-1.4458618164
0.1646118164;0.0410156250;-1.5278167725
-0.1281280518;-0.4154815674;-1.5315246582
-0.3493499756;-0.0592041016;-1.3243408203
-0.0345306396;-0.4131469727;-0.8847503662
0.3364715576;-0.0040893555;-0.9585876465
0.2504272461;-0.0156250000;-1.2168273926
0.3220977783;-0.0514984131;-1.2754974365
0.1108856201;0.0363922119;-1.4905700684
-0.1624298096;-0.2108917236;-1.2113342285
-0.1075592041;0.0516357422;-1.1734466553
0.0005035400;-0.2060394287;-0.8426361084
0.0977783203;0.0313720703;-0.6770629883
-0.0529937744;0.1386566162;-0.8026428223
0.0463562012;-0.1052703857;-0.8787078857
-0.0485382080;0.0464935303;-1.1514587402
-0.0401000977;-0.0109710693;-1.1933593750
-0.1442565918;0.0789642334;-1.1096496582
-0.0303649902;-0.1690826416;-0.8401489258
-0.1278686523;0.0128479004;-0.7714080811
-0.1783447266;0.1130371094;-0.7664642334
0.3439178467;0.2788085938;-0.5786895752
0.1282043457;-0.2402496338;-0.4340057373
-0.6264495850;-0.2362823486;-1.3784637451
-0.7016754150;-0.3870849609;-1.4048461914
-0.4840698242;-0.2177124023;-1.2707366943
0.0381622314;-0.1830902100;-0.8181610107
0.3867034912;0.2533111572;-0.3302154541
0.3057098389;0.1103057861;-0.6338043213
